gid,val,school,parking,home,mercantile,social,public,subway,val_2,val_3,bus_stops,drt,area,yn,total_tota,total_bus,frequency,score
다바682680,0.0000000000000000000000000000000,321.228722050863269,342.086230780468100,861.145336854161656,68.140799848296098,3525.643085270804022,38.650710788042879,212.047116376120613,0.0000000000000000000000000000000,0.0000000000000000000000000000000,46.799014109879842,4432.828785808747853,5500.104,1,0,0,64,0.646256151816250
다바656706,0.0000000000000000000000000000000,683.930562407675666,457.189945405781145,389.107598611565493,1930.549004026853709,2817.044327382309802,495.627511088167694,3043.148203427493172,0.0000000000000000000000000000000,0.0000000000000000000000000000000,148.473526509365939,1518.571725306305098,6390.910,0,0,0,0,0.627053080663071
다바680684,46.0000000000000000000000000000000,223.606904161615233,321.693929918388847,625.314023075792306,386.009586123138888,3632.510379434408151,459.312681508537935,563.474775071452768,19.9999999999999964472863211994991,0.0000000000000000000000000000000,80.062228744429774,3985.760240755973427,3665.643,1,0,0,46,0.573652835528878
다바700640,0.0000000000000000000000000000000,403.788768424981356,979.994834875113611,414.601757874847124,1383.744302007092983,765.055994786904876,205.314011940758547,3945.185318448059206,0.0000000000000000000000000000000,0.0000000000000000000000000000000,118.516400490304292,8818.865902812345666,2546.048,1,15215,366,96,0.583705020354271
다바674784,412.0000000000000000000000000000000,515.460430583581001,1413.669973204878261,133.547185110356651,1530.384697935495979,485.966378627362872,4177.528355657165775,1490.788743867116864,74.0000000000000000000000000000000,19.0000000000000000000000000000000,119.620722283101358,1460.952433469310108,5095.753,0,0,0,0,0.608735304481269
다바667660,562.0000000000000000000000000000000,44.584850872401155,469.271163611097791,715.830365701428718,482.935523803926230,3099.387988048401894,463.645864641219930,564.862359947556911,78.0000000000000000000000000000000,46.0000000000000000000000000000000,143.483079269931324,6023.945462694203343,5124.542,0,0,0,0,0.594674320348962
다바712705,0.0000000000000000000000000000000,22.529833921464160,660.918879946577817,159.962514816714645,2197.397118051740563,4063.931931557123789,2134.154536563481088,2560.124083105797581,0.0000000000000000000000000000000,0.0000000000000000000000000000000,185.157793730661268,3981.102588243572882,6541.523,0,0,0,0,0.614675257334211
다바673657,0.0000000000000000000000000000000,48.883550466009424,711.364862599191156,188.720661031317348,901.129710371531360,2852.251502813202933,512.997516385917038,1233.727458496555073,0.0000000000000000000000000000000,0.0000000000000000000000000000000,84.722543036199511,6388.127330455727133,4662.332,1,0,0,0,0.564888115413337
다바694600,0.0000000000000000000000000000000,443.289170365084487,2098.855292255392669,1712.876840519164261,5013.254083133717359,4801.999524570901485,3650.963252391409696,6985.873369202836329,0.0000000000000000000000000000000,0.0000000000000000000000000000000,408.805315861856968,12401.675535537582618,8284.618,0,34140,1289,48,0.682033071102929
다바679651,0.0000000000000000000000000000000,189.965924963355064,483.907165635225454,407.759556675202020,1148.525320179508071,2121.271662199837010,1085.764721130294447,1996.828983335473367,0.0000000000000000000000000000000,0.0000000000000000000000000000000,216.187742466091890,7091.216988125982425,4927.759,1,5647,172,11,0.585349064235657
다바675731,0.0000000000000000000000000000000,96.647589528393127,453.388846257269449,370.193938162548420,1320.725117703585511,4877.255186384015360,210.627674484631513,1790.446577267324074,0.0000000000000000000000000000000,0.0000000000000000000000000000000,97.925419262812269,92.851148067336155,4745.842,1,0,0,19,0.587837867287248
다바688678,36.0000000000000000000000000000000,221.061648634029581,86.516420578384739,473.245574390719355,269.389775609821015,2900.382488525975077,423.897218879982404,444.053892445619226,14.0000000000000017763568394002505,0.0000000000000000000000000000000,22.902449698019122,4890.594134346672945,3640.829,1,5718,422,46,0.581880304541500
다바696766,0.0000000000000000000000000000000,829.052628939734859,214.155020747749091,398.882157163149429,2661.015728185709122,1140.557530416020427,2844.115795960220566,2321.440356916387827,0.0000000000000000000000000000000,0.0000000000000000000000000000000,97.912680792099906,107.197142963612578,4734.854,1,0,0,0,0.583362770984460
다바696666,7.0000000000000008881784197001252,381.853767368449610,93.161376182915674,163.356862572790078,619.434376452921242,1768.692944502362025,59.205821973962649,1847.961106763253156,0.0000000000000000000000000000000,0.0000000000000000000000000000000,50.446530021985581,6331.145926051663082,3790.008,1,6923,458,27,0.571979367474782
다바698705,0.0000000000000000000000000000000,258.924018844296199,1158.818146985438261,367.012930730737139,1575.757697491809949,4350.562328634183359,942.113616635248150,1163.922113008775113,0.0000000000000000000000000000000,0.0000000000000000000000000000000,208.974884857231189,3343.644865367405600,3844.403,0,34912,1071,77,0.632495222240556
다바698704,0.0000000000000000000000000000000,250.983291105600074,1122.800450718237471,279.718250070650583,1476.166076735044271,4257.375629026880233,896.801519212193625,1179.032007638119239,0.0000000000000000000000000000000,0.0000000000000000000000000000000,111.045937777224054,3439.488089096549174,3755.875,0,34912,1071,77,0.630576357087145
다바698709,0.0000000000000000000000000000000,527.207047344635384,1033.563893312604478,748.681012800161966,1972.508211966406407,4726.094993768782842,1106.951658643368546,1188.741992870346394,0.0000000000000000000000000000000,0.0000000000000000000000000000000,507.318629599329029,2963.020699951478491,1983.921,0,34912,1071,77,0.567639108668392
다바691676,0.0000000000000000000000000000000,55.615969269928534,379.605886786154201,243.080495944801527,427.379726155048388,2541.869972788617815,589.493316995730538,803.933988929226530,0.0000000000000000000000000000000,0.0000000000000000000000000000000,39.293138197126801,5217.680794012002480,4062.297,1,7147,265,44,0.595497796419517
다바758646,0.0000000000000000000000000000000,464.699453399529546,1879.888974241819142,926.192359238938707,745.652689216736462,4804.614334822103046,4572.581254571216050,8139.567247150501316,0.0000000000000000000000000000000,0.0000000000000000000000000000000,209.928414324125526,11461.579851770853566,6836.473,0,0,0,0,0.572537120911477
다바666664,0.0000000000000000000000000000000,444.584850872401148,415.018656351626362,541.972549493013730,235.315244982850345,2768.679677852547229,372.246343998846839,477.202699807099577,0.0000000000000000000000000000000,0.0000000000000000000000000000000,151.486150388825507,5618.847919616838226,5324.429,1,0,0,33,0.616167326436514
다바662603,0.0000000000000000000000000000000,1497.886867505375221,913.835500245574281,905.056753887066407,5229.171214843790949,5859.691995867146943,3685.224628707196189,5894.142726961078552,0.0000000000000000000000000000000,0.0000000000000000000000000000000,373.990964993800617,11712.113431745776325,7188.991,0,0,0,0,0.567300965985005
다바694696,0.0000000000000000000000000000000,278.437101810033369,267.175836345208268,354.255415160066150,635.209684792373764,3719.836631998204211,262.547600359695025,1275.834420922554727,0.0000000000000000000000000000000,0.0000000000000000000000000000000,28.726426040421192,3916.581765994311809,4369.743,1,16084,420,2,0.577166586419881
다바692727,0.0000000000000000000000000000000,319.020159618230537,472.959333645755237,310.978083898138266,1026.726838540270364,4503.704554066171113,601.892057354848475,2146.510964552921905,0.0000000000000000000000000000000,0.0000000000000000000000000000000,225.936288648557053,1065.967547373856405,2541.070,1,0,0,99,0.575791339705407
다바660748,0.0000000000000000000000000000000,908.977821909299678,924.505767444382286,2036.186678254701746,2119.089166868066059,3379.404862386500099,780.691794450632869,2201.481147068832797,0.0000000000000000000000000000000,0.0000000000000000000000000000000,130.868800342794884,121.233692033016041,2584.891,1,0,0,99,0.577173701788680
다바660747,219.0000000000000000000000000000000,1001.405346030233432,827.565363734559014,2005.451925579320687,2098.669301754415301,3473.287349920394718,718.538139456385352,2201.370926315770703,37.0000000000000000000000000000000,0.0000000000000000000000000000000,35.033257141170431,24.304399095884136,4423.357,1,0,0,99,0.641296558073178
다바653686,0.0000000000000000000000000000000,762.311238823598387,321.403587466681188,418.479214517513014,270.523000438734016,1064.170319913643880,401.974346742107514,2558.240416961888059,0.0000000000000000000000000000000,0.0000000000000000000000000000000,145.343122335843077,3537.575324918568640,8927.207,0,0,0,0,0.719015175070433
다바686712,0.0000000000000000000000000000000,159.909522013871225,438.605586066207877,320.779917498954148,1217.403293932568431,5257.723669460097881,532.136888713554185,574.604370382288835,0.0000000000000000000000000000000,0.0000000000000000000000000000000,251.325512522742855,2215.723952682427807,4902.863,1,0,0,1,0.571434136208733
다바689714,0.0000000000000000000000000000000,507.546427597294326,179.348353901518720,523.767572909980686,1551.026903688366701,5537.795177232419519,209.407949995723015,814.585536373046580,0.0000000000000000000000000000000,0.0000000000000000000000000000000,92.691143212358426,2183.331349344980026,4543.251,1,0,0,100,0.631541024407933
다바668656,205.0000000000000000000000000000000,152.021643918915885,779.865606931039224,355.545785428663976,643.027573760860491,3301.969779775122333,589.569356645110020,866.265868349816628,37.0000000000000000000000000000000,9.0000000000000000000000000000000,49.443489679582989,6429.960025633571604,5712.914,1,13610,413,36,0.643705334765854
다바690716,0.0000000000000000000000000000000,631.969360337183389,68.741979206111367,413.401955044569206,1771.579374379759201,5593.339327301352569,54.168956056252270,1036.407423470258664,0.0000000000000000000000000000000,0.0000000000000000000000000000000,32.451297678006405,2053.531504540614606,4602.406,1,0,0,100,0.632533091085629
다바668644,49.0000000000000000000000000000000,597.029465639464888,130.355291834850675,421.601640261610726,1297.360613840408405,3215.446167843165767,506.999748594958362,1901.622980268613219,0.0000000000000000000000000000000,0.0000000000000000000000000000000,123.788776636770208,7627.065546533916859,4702.258,1,6817,235,25,0.581556851076892
다바665691,530.0000000000000000000000000000000,310.799973679267225,331.212202787199885,22.259962323815326,1473.160921031750831,2358.573075057109691,186.077724577421236,2197.935850764008137,100.0000000000000000000000000000000,73.0000000000000000000000000000000,238.760372411735602,2917.500817529055439,4706.832,0,0,0,0,0.591058753894604
다바691731,0.0000000000000000000000000000000,413.224255025421030,850.932609207889300,686.595761109806517,634.197733440357638,4190.295730580938653,285.770211789002701,1876.954220284499115,0.0000000000000000000000000000000,0.0000000000000000000000000000000,58.129634057601265,657.496773123056983,2754.096,1,0,0,99,0.587263500106865
다바659729,0.0000000000000000000000000000000,813.866663670441199,1007.318050849751671,957.928033716444702,2587.840126065978438,5072.822441155308297,1466.906853040177566,2950.842282418777813,0.0000000000000000000000000000000,0.0000000000000000000000000000000,243.220102830865869,242.057602603503796,5125.232,0,0,0,0,0.569237086730107
다바697692,599.0000000000000000000000000000000,243.536124105565250,292.282397114582125,135.653394977317532,272.351182850526129,3222.076704576458269,320.872141036372454,1750.497264211085394,158.0000000000000000000000000000000,53.0000000000000000000000000000000,146.533020678806935,4401.195113942870194,4406.733,1,18563,1839,32,0.621078064044639
다바659667,27.0000000000000000000000000000000,80.446180417901175,62.024352487367530,411.515077222301784,836.163384114113569,2036.422949327859897,75.528877123979328,573.247351815898583,9.0000000000000000000000000000000,0.0000000000000000000000000000000,60.067109023679542,5327.661845257183813,4111.685,1,0,0,46,0.594712984382516
다바677727,0.0000000000000000000000000000000,278.480821408332645,223.344879625528932,388.252230347261161,1364.695686937803885,5292.357991961029256,597.531611728808343,2107.940957009498561,0.0000000000000000000000000000000,0.0000000000000000000000000000000,508.604669611021166,512.926461009193304,4218.461,0,0,0,20,0.564607649430978
다바701621,0.0000000000000000000000000000000,956.092678722601590,763.872965400271710,1151.242779242537381,3086.784093585236405,2667.118469005152747,1671.141335576529173,5594.882243421576277,0.0000000000000000000000000000000,0.0000000000000000000000000000000,543.420125830671054,10610.067928876167571,3825.916,0,34715,1289,61,0.583179281667982
다바669658,879.0000000000000000000000000000000,215.815991514509420,561.771043883297693,456.961420996616084,670.384753262556387,3263.136194451006759,557.196715183972856,829.992121312781023,124.0000000000000000000000000000000,66.0000000000000000000000000000000,47.114438030312719,6239.149097836801957,6174.558,1,0,0,0,0.632981435808241
다바671627,0.0000000000000000000000000000000,1015.422435202541806,953.445422256295728,873.129016055499505,2980.820166387061363,3555.759559285080286,1162.742033961521201,3615.836706011503793,0.0000000000000000000000000000000,0.0000000000000000000000000000000,321.827732779958978,9344.682412060301431,5141.644,0,8166,94,33,0.580204350628358
다바656672,398.0000000000000000000000000000000,214.755127104427970,413.324482333557967,390.923015719934426,655.990916783256466,1489.286974550801460,282.351072792342393,1155.967475895113694,33.0000000000000000000000000000000,68.0000000000000000000000000000000,118.938701457410346,4864.233046035499683,5023.781,0,0,0,0,0.601085291617840
다바657673,568.0000000000000000000000000000000,157.735970276578826,322.749594321714426,340.971173566132336,796.072722503204886,1519.684816600325803,282.577467039914097,1201.475740829682081,51.0000000000000000000000000000000,100.0000000000000000000000000000000,134.132288063269584,4751.386173520923876,4252.354,0,0,0,0,0.580562939176100
다바700691,0.0000000000000000000000000000000,394.835544682749799,606.509095723111727,421.374691289226405,377.948708106794868,2988.780352867944657,457.622605629771328,1923.629541238861520,0.0000000000000000000000000000000,0.0000000000000000000000000000000,286.439764111401075,4697.285216196724832,4457.699,0,8305,103,5,0.573877771488478
다바667780,0.0000000000000000000000000000000,755.633538985093764,1820.647771365879635,672.727646544386516,1883.403301485562451,481.041781762832613,3932.127259702643642,1729.879588386801970,0.0000000000000000000000000000000,0.0000000000000000000000000000000,440.551537331795942,752.071737018240924,3438.259,0,0,0,34,0.570445508570483
다바666667,0.0000000000000000000000000000000,322.914636274880252,231.346240409139256,242.183495362529925,324.983549612081333,2600.018396656837922,387.882726889360072,664.292153798861023,0.0000000000000000000000000000000,0.0000000000000000000000000000000,29.967836703161407,5319.258991044966024,4537.619,1,0,0,3,0.570586139351600
다바671653,0.0000000000000000000000000000000,165.935153405276225,643.141196130859612,220.938146297084216,966.622286071464828,2943.676585721351330,820.147972082800948,1290.404087215129493,0.0000000000000000000000000000000,0.0000000000000000000000000000000,218.849680265358273,6757.438843417766293,4062.193,1,26097,371,96,0.644585506476530
다바647687,370.0000000000000000000000000000000,236.480023112380877,237.349958930528317,190.698924388854181,373.176992716996608,714.735954474923346,66.912147583532814,2905.031091437311261,13.0000000000000000000000000000000,100.0000000000000000000000000000000,80.321547094957197,3602.386607523723342,3837.890,1,0,0,0,0.569295879818481
다바680766,0.0000000000000000000000000000000,740.473583998705749,349.832383247952293,745.736743192592712,2281.524296666716964,1593.911840165989815,2337.258157902891526,1863.283964328725233,0.0000000000000000000000000000000,0.0000000000000000000000000000000,203.140058502842777,750.338670894381721,2445.586,1,0,0,93,0.578898985508917
